State, Base,2010,Revised
Alabama,4779736,4780125,4785437
Alaska,710231,710249,713910
Arizona,6392017,6392288,6407172
Arkansas,2915918,2916031,2921964
California,37253956,37254519,37319502
Colorado,5029196,5029319,5047349
Connecticut,3574097,3574147,3579114
Delaware,897934,897937,899593
District of Columbia,601723,601767,605226
Florida,18801310,18804564,18845537
Georgia,9687653,9688729,9711881
Hawaii,1360301,1360307,1363963
Idaho,1567582,1567657,1570746
Illinois,12830632,12831572,12840503
Indiana,6483802,6484051,6490432
Iowa,3046355,3046871,3050745
Kansas,2853118,2853123,2858190
Kentucky,4339367,4339333,4348181
Louisiana,4533372,4533487,4544532
Maine,1328361,1328358,1327629
Maryland,5773552,5773794,5788645
Massachusetts,6547629,6547785,6566307
Michigan,9883640,9884116,9877510
Minnesota,5303925,5303927,5310828
Mississippi,2967297,2968130,2970548
Missouri,5988927,5988950,5995974
Montana,989415,989407,990697
Nebraska,1826341,1826305,1829542
Nevada,2700551,2700677,2702405
Massachusetts,6547629,6547785,6566307
Michigan,9883640,9884116,9877510
Minnesota,5303925,5303927,5310828
Mississippi,2967297,2968130,2970548
Missouri,5988927,5988950,5995974
Montana,989415,989407,990697
Nebraska,1826341,1826305,1829542
Nevada,2700551,2700677,2702405
New Hampshire,1316470,1316462,1316762
New Jersey,8791894,8791978,8799446
New Mexico,2059179,2059199,2064552
New York,19378102,19378144,19399878
North Carolina,9535483,9535751,9574323
North Dakota,672591,672576,674715
Ohio,11536504,11536751,11539336
Oklahoma,3751351,3751582,3759944
Oregon,3831074,3831079,3837491
Pennsylvania,12702379,12702868,12711160
Rhode Island,1052567,1052964,1053959
South Carolina,4625364,4625366,4635649
South Dakota,814180,814198,816166
Tennessee,6346105,6346276,6355311
Texas,25145561,25146091,25241971
Utah,2763885,2763891,2775332
Vermont,625741,625737,625879
Virginia,8001024,8001049,8023699
Washington,6724540,6724540,6742830
West Virginia,1852994,1853018,1854239
Wisconsin,5686986,5687285,5690475
Wyoming,563626,563775,564487
